experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
adf5eac2-f176-45fb-80df-efa36fd67cc6,2022-08-30-18-55-18,2022-08-30-18-55-18,True,2022-08-30 18:55:20.261895,,,Pipeline has been started.,experiment.csv,,,2022-08-30 18:55:20.262892
06104e2e-2b29-4493-be04-ea6d5d43c69d,2022-08-30-18-56-38,2022-08-30-18-56-38,True,2022-08-30 18:56:40.099456,,,Pipeline has been started.,experiment.csv,,,2022-08-30 18:56:40.099456
3f24dfa2-0531-469d-9906-ecead3389cb0,2022-08-30-18-57-50,2022-08-30-18-57-50,True,2022-08-30 18:57:52.536575,,,Pipeline has been started.,experiment.csv,,,2022-08-30 18:57:52.537575
f9d044dd-6ae2-43c8-b242-dec1f2aaf499,2022-08-30-19-03-17,2022-08-30-19-03-17,True,2022-08-30 19:03:19.829794,,,Pipeline has been started.,experiment.csv,,,2022-08-30 19:03:19.830432
84c32d7e-e9cc-4157-9733-a25614964e48,2022-08-30-19-19-06,2022-08-30-19-19-06,True,2022-08-30 19:19:07.578639,,,Pipeline has been started.,experiment.csv,,,2022-08-30 19:19:07.580651
92b65c0e-cf74-4bd2-a84c-79b5ca0b6e4a,2022-08-30-19-22-07,2022-08-30-19-22-07,True,2022-08-30 19:22:09.198742,,,Pipeline has been started.,experiment.csv,,,2022-08-30 19:22:09.198742
105a8fc2-143b-4533-a731-7cd384628fbc,2022-08-30-19-42-31,2022-08-30-19-42-31,True,2022-08-30 19:42:33.190985,,,Pipeline has been started.,experiment.csv,,,2022-08-30 19:42:33.190985
b87e8b5f-68df-442a-9fdc-370813fcf34f,2022-08-30-19-49-38,2022-08-30-19-49-38,True,2022-08-30 19:49:39.739264,,,Pipeline has been started.,experiment.csv,,,2022-08-30 19:49:39.739264
0d054039-cfda-4dba-9711-1e90a850542d,2022-08-30-19-57-15,2022-08-30-19-57-15,True,2022-08-30 19:57:17.116209,,,Pipeline has been started.,experiment.csv,,,2022-08-30 19:57:17.116209
18d3e154-f6e8-405b-a979-f05b30a9d6ad,2022-08-30-20-16-13,2022-08-30-20-16-13,True,2022-08-30 20:16:15.269030,,,Pipeline has been started.,experiment.csv,,,2022-08-30 20:16:15.269030
d930acb9-d0e0-4253-bf70-8b6046cd0e8a,2022-08-30-20-23-52,2022-08-30-20-23-52,True,2022-08-30 20:23:55.534280,,,Pipeline has been started.,experiment.csv,,,2022-08-30 20:23:55.534280
d930acb9-d0e0-4253-bf70-8b6046cd0e8a,2022-08-30-20-23-52,2022-08-30-20-23-52,False,2022-08-30 20:23:55.534280,2022-08-30 20:24:01.131160,0 days 00:00:05.596880,Pipeline has been completed.,experiment.csv,0.8546598741384478,True,2022-08-30 20:24:01.131160
79cd93f0-7412-4274-b4fe-e96736260ead,2022-08-30-22-20-50,2022-08-30-22-20-50,True,2022-08-30 22:20:51.005274,,,Pipeline has been started.,experiment.csv,,,2022-08-30 22:20:51.005274
79cd93f0-7412-4274-b4fe-e96736260ead,2022-08-30-22-20-50,2022-08-30-22-20-50,False,2022-08-30 22:20:51.005274,2022-08-30 22:20:57.893010,0 days 00:00:06.887736,Pipeline has been completed.,experiment.csv,0.8571428571428573,True,2022-08-30 22:20:57.893010
16f905f5-2a01-4e72-918e-08b8f3a75c6a,2022-08-30-22-43-39,2022-08-30-22-43-39,True,2022-08-30 22:43:39.931138,,,Pipeline has been started.,experiment.csv,,,2022-08-30 22:43:39.931138
16f905f5-2a01-4e72-918e-08b8f3a75c6a,2022-08-30-22-43-39,2022-08-30-22-43-39,False,2022-08-30 22:43:39.931138,2022-08-30 22:43:45.163617,0 days 00:00:05.232479,Pipeline has been completed.,experiment.csv,0.8566629339305711,False,2022-08-30 22:43:45.164614
4215bbcf-4ddc-4688-9ef4-580adf9748b3,2022-08-30-22-55-27,2022-08-30-22-55-27,True,2022-08-30 22:55:27.511655,,,Pipeline has been started.,experiment.csv,,,2022-08-30 22:55:27.511655
4215bbcf-4ddc-4688-9ef4-580adf9748b3,2022-08-30-22-55-27,2022-08-30-22-55-27,False,2022-08-30 22:55:27.511655,2022-08-30 22:55:32.345757,0 days 00:00:04.834102,Pipeline has been completed.,experiment.csv,0.8593996840442338,True,2022-08-30 22:55:32.345757
